,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0,6.0,66.0,1399.0,2.0,1172.0,-1542.0,87.0,0.0,-1.0,-1.0,0.0,1.0
1,-2.0,125.0,-811.0,3.0,12358.0,-838.0,64.0,0.0,-3.0,2.0,0.0,-0.0
2,-5.0,54.0,1226.0,0.0,-60.0,2115.0,-24.0,0.0,10.0,3.0,0.0,1.0
3,12.0,24.0,2171.0,-1.0,2190.0,618.0,46.0,0.0,1.0,2.0,0.0,1.0
4,10.0,135.0,-13.0,6.0,4463.0,2841.0,17.0,0.0,2.0,-0.0,0.0,0.0
5,3.0,86.0,-461.0,10.0,3350.0,1067.0,122.0,0.0,4.0,0.0,0.0,0.0
6,1.0,-157.0,919.0,-1.0,4111.0,1254.0,8.0,0.0,1.0,-0.0,0.0,-0.0
7,-11.0,211.0,41.0,-3.0,-3714.0,781.0,70.0,0.0,1.0,-1.0,0.0,1.0
8,47.0,126.0,359.0,0.0,7108.0,-1060.0,-36.0,0.0,-4.0,2.0,0.0,-1.0
