C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
1.8e+1,-1.2e+2,2.8e+0,2.3e+2,2.0e+2,2.0e+0,2.e+0,\textcolor{green}{True},\textcolor{red}{False}
1.7e+1,1.7e+2,-2.0e-2,2.0e+3,8.8e+2,2.3e+1,7.3e+0,\textcolor{green}{True},\textcolor{red}{False}
-1.3e+1,1.4e+2,-5.5e-1,3.e+3,3.7e+2,3.4e+1,2.3e+0,\textcolor{green}{True},\textcolor{red}{False}
2.e+1,1.4e+2,1.1e-1,8.8e+2,1.9e+2,4.3e+1,-1.6e+0,\textcolor{green}{True},\textcolor{green}{True}
3.4e+0,1.1e+2,-1.6e-1,1.2e+3,2.9e+2,4.5e+1,-1.2e-1,\textcolor{green}{True},\textcolor{green}{True}
6.3e+1,-3.2e+1,3.e+0,3.4e+3,-6.4e+2,1.2e+1,1.2e+0,\textcolor{green}{True},\textcolor{red}{False}
1.1e+1,4.1e+2,4.1e-1,2.4e+3,5.5e+2,3.2e+1,1.4e+0,\textcolor{green}{True},\textcolor{red}{False}
2.9e+1,2.9e+2,3.1e-1,3.4e+3,2.1e+2,1.3e+0,-2.1e-1,\textcolor{green}{True},\textcolor{red}{False}
