C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
1.5e+4,2.5e+5,1.1e+3,-7.4e+5,7.6e+4,5.6e+2,-1.5e+3,\textcolor{red}{False},\textcolor{green}{False}
-1.2e+4,-8.9e+4,4.9e+2,8.9e+5,1.6e+5,1.2e+4,-1.6e+3,\textcolor{red}{False},\textcolor{green}{False}
-5.2e+3,-4.7e+4,-4.4e+2,1.4e+5,2.6e+4,3.9e+3,-1.5e+3,\textcolor{red}{False},\textcolor{green}{False}
1.9e+3,-9.5e+4,-1.6e+3,1.9e+4,-1.3e+4,-1.2e+3,3.6e+2,\textcolor{red}{False},\textcolor{green}{False}
1.4e+4,7.8e+4,4.7e+2,1.1e+4,-1.5e+4,-8.2e+3,-1.8e+2,\textcolor{red}{False},\textcolor{green}{False}
2.2e+3,2.5e+4,2.9e+3,-5.3e+5,8.7e+4,-1.5e+4,-7.6e+2,\textcolor{red}{False},\textcolor{green}{False}
-1.8e+4,-3.5e+3,3.1e+2,-2.5e+5,-1.0e+3,-2.3e+2,4.4e+2,\textcolor{red}{False},\textcolor{green}{False}
9.0e+3,-1.6e+4,-3.3e+2,1.4e+6,1.9e+5,-9.e+3,-6.5e+1,\textcolor{red}{False},\textcolor{green}{False}
