,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0,10.0,37.0,175.0,3.0,2128.0,1297.0,42.0,0.0,2.0,1.0,0.0,-0.20896998155392366
1,16.0,68.0,214.0,3.0,2448.0,1243.0,16.0,0.0,2.0,0.0,0.0,0.08928422675943831
2,4.0,75.0,341.0,3.0,2665.0,290.0,7.0,0.0,2.0,0.0,0.0,-0.304978286491329
3,11.0,14.0,217.0,0.0,1580.0,1320.0,0.0,0.0,4.0,0.0,0.0,0.3859470145409252
4,11.0,75.0,103.0,3.0,1238.0,1379.0,31.0,0.0,2.0,0.0,0.0,-0.3206396294850425
5,10.0,36.0,175.0,3.0,3330.0,191.0,0.0,0.0,2.0,0.0,0.0,-0.18096552089295714
6,3.0,26.0,514.0,0.0,4097.0,1490.0,0.0,0.0,2.0,0.0,0.0,-0.28851986655906314
7,4.0,10.0,115.0,0.0,849.0,615.0,31.0,0.0,2.0,0.0,0.0,-0.16999404048807837
8,3.0,26.0,453.0,0.0,4024.0,609.0,0.0,0.0,2.0,0.0,0.0,-0.2293345749498424
