C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
1.8e+1,9.8e+2,3.8e+0,-2.1e+2,2.8e+3,-9.0e+0,2.0e+0,\textcolor{red}{False},\textcolor{green}{False}
-3.1e+0,-1.5e+3,-1.4e+0,2.4e+1,-8.1e+2,1.1e+1,-8.3e-1,\textcolor{red}{False},\textcolor{green}{False}
-1.5e+2,5.2e+2,1.4e+1,2.1e+3,4.2e+3,-2.8e+1,8.3e+0,\textcolor{red}{False},\textcolor{green}{False}
-1.9e+1,5.7e+2,-8.3e-1,2.5e+3,2.7e+3,-2.e+1,4.5e+0,\textcolor{red}{False},\textcolor{green}{False}
-1.4e+2,-5.9e+2,3.4e+0,-1.5e+3,-3.2e+3,2.e+1,2.0e+0,\textcolor{red}{False},\textcolor{green}{False}
4.6e+1,8.3e+1,5.7e+0,7.6e+2,-7.7e+2,3.4e+1,1.1e+1,\textcolor{red}{False},\textcolor{green}{False}
-3.5e+2,3.7e+2,-7.8e+0,-3.e+3,1.8e+3,-2.3e+1,5.1e+1,\textcolor{red}{False},\textcolor{green}{False}
-7.1e+1,-1.4e+2,1.1e+1,3.6e+3,-1.3e+3,-8.3e+1,-2.1e+0,\textcolor{red}{False},\textcolor{green}{False}
