,classifier_name,dataset_name,accuracy
0,Random Forest,ieee,0.749
1,Random Forest,internal,1.0
2,AdaptiveGB,ieee,0.785
3,AdaptiveGB,internal,1.0
4,Naive Bayes,ieee,0.752
5,Naive Bayes,internal,1.0
6,Decision Tree,ieee,0.744
7,Decision Tree,internal,1.0
8,KNeighbors,ieee,0.712
9,KNeighbors,internal,1.0
10,RBF SVM,ieee,0.607
11,RBF SVM,internal,1.0
