C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
6.1e+1,5.4e+2,3.e+0,1.1e+3,4.5e+2,-9.3e-1,-8.8e-2,\textcolor{red}{False},\textcolor{green}{False}
7.6e+1,1.2e+2,2.9e+0,2.2e+2,4.5e+2,3.1e+1,2.0e-2,\textcolor{red}{False},\textcolor{green}{False}
7.8e+1,3.4e+2,3.1e+0,-1.2e+2,3.1e+2,-1.8e+0,-7.2e-2,\textcolor{red}{False},\textcolor{green}{False}
1.8e+1,4.9e+2,-6.5e-2,3.4e+3,1.3e+2,-7.2e-2,5.8e+0,\textcolor{red}{False},\textcolor{green}{False}
3.5e+1,1.7e+2,3.0e+0,4.e+2,1.8e+2,1.8e+0,6.1e+0,\textcolor{red}{False},\textcolor{green}{False}
8.7e+0,4.9e+2,7.4e-2,3.2e+3,7.7e+2,2.0e+0,4.4e-2,\textcolor{red}{False},\textcolor{green}{False}
7.9e+1,9.3e+1,3.e+0,1.7e+3,1.1e+3,3.3e-1,7.9e+0,\textcolor{red}{False},\textcolor{green}{False}
6.3e+1,2.6e+2,3.0e+0,3.3e+3,4.8e+1,-2.1e-1,-1.9e-3,\textcolor{red}{False},\textcolor{green}{False}
