C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
-2.e+1,-3.2e+3,-8.5e+0,2.4e+4,-2.4e+3,-5.4e+1,2.5e+1,\textcolor{green}{True},\textcolor{red}{False}
-1.7e+2,-1.4e+3,-6.4e-1,-3.7e+3,-1.6e+3,2.5e+1,5.1e+1,\textcolor{green}{True},\textcolor{red}{False}
8.2e+1,8.3e+1,-5.3e+0,5.4e+3,-9.1e+2,-1.3e+1,7.7e+0,\textcolor{green}{True},\textcolor{red}{False}
-9.6e+1,-9.9e+2,6.3e+0,9.2e+3,1.8e+3,1.2e+2,-1.5e+0,\textcolor{green}{True},\textcolor{red}{False}
3.0e+1,-6.5e+1,-1.7e+0,1.0e+4,3.1e+3,3.4e+1,2.3e+0,\textcolor{green}{True},\textcolor{red}{False}
-5.8e+1,-3.3e+2,1.1e+1,-1.2e+4,-2.1e+3,-1.2e+2,1.6e+1,\textcolor{green}{True},\textcolor{red}{False}
8.7e+1,2.2e+2,1.9e+0,-8.6e+3,2.7e+3,1.2e+2,-3.2e+0,\textcolor{green}{True},\textcolor{red}{False}
7.5e+1,-1.9e+2,-2.0e+1,4.1e+3,1.4e+3,2.1e+1,-5.0e+0,\textcolor{green}{True},\textcolor{red}{False}
