C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
5.9e+1,5.4e+2,3.e+0,1.1e+3,4.6e+2,0.e+0,0.e+0,\textcolor{red}{False},\textcolor{red}{True}
7.6e+1,9.2e+1,3.e+0,1.0e+2,4.4e+2,3.1e+1,0.e+0,\textcolor{red}{False},\textcolor{red}{True}
7.7e+1,3.4e+2,3.e+0,1.1e+2,3.1e+2,0.e+0,0.e+0,\textcolor{red}{False},\textcolor{red}{True}
1.9e+1,4.9e+2,0.e+0,3.5e+3,1.6e+2,0.e+0,6.e+0,\textcolor{red}{False},\textcolor{red}{True}
3.6e+1,1.8e+2,3.e+0,3.1e+2,1.6e+2,0.e+0,6.e+0,\textcolor{red}{False},\textcolor{green}{False}
9.e+0,5.1e+2,0.e+0,3.2e+3,8.4e+2,0.e+0,0.e+0,\textcolor{red}{False},\textcolor{green}{False}
8.e+1,1.0e+2,3.e+0,1.7e+3,1.1e+3,0.e+0,8.e+0,\textcolor{red}{False},\textcolor{green}{False}
6.3e+1,2.6e+2,3.e+0,3.3e+3,5.4e+1,0.e+0,0.e+0,\textcolor{red}{False},\textcolor{green}{False}
