C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
1.9e+1,1.5e+2,3.e+0,5.5e+2,4.1e+2,3.1e+1,0.e+0,\textcolor{green}{True},\textcolor{green}{True}
1.9e+1,1.5e+2,0.e+0,1.6e+3,1.9e+2,0.e+0,6.e+0,\textcolor{green}{True},\textcolor{green}{True}
1.9e+1,1.5e+2,0.e+0,2.8e+3,2.e+2,3.1e+1,0.e+0,\textcolor{green}{True},\textcolor{green}{True}
1.9e+1,1.5e+2,0.e+0,1.0e+3,1.8e+2,4.2e+1,0.e+0,\textcolor{green}{True},\textcolor{green}{True}
1.9e+1,2.4e+2,0.e+0,2.4e+3,3.6e+2,4.2e+1,0.e+0,\textcolor{green}{True},\textcolor{red}{False}
7.1e+1,9.8e+1,3.e+0,4.3e+3,1.3e+2,0.e+0,0.e+0,\textcolor{green}{True},\textcolor{red}{False}
1.4e+1,2.0e+2,0.e+0,1.1e+3,6.4e+2,3.1e+1,0.e+0,\textcolor{green}{True},\textcolor{red}{False}
1.9e+1,1.5e+2,0.e+0,3.4e+3,0.e+0,0.e+0,0.e+0,\textcolor{green}{True},\textcolor{red}{False}
