C1,C2,C3,C4,C5,C6,C7,Actual,Predicted
-5.6e+3,1.0e+5,-1.9e+2,-2.6e+4,2.e+5,6.6e+1,2.5e+3,\textcolor{green}{True},\textcolor{red}{False}
1.6e+4,1.0e+3,2.5e+2,9.1e+4,2.5e+5,-4.e+3,1.7e+3,\textcolor{green}{True},\textcolor{red}{False}
2.8e+3,4.5e+4,1.0e+3,6.e+4,-6.9e+4,-4.9e+3,-1.1e+3,\textcolor{green}{True},\textcolor{red}{False}
-6.0e+3,-2.3e+4,2.6e+3,-3.2e+5,-1.9e+5,2.5e+2,2.1e+2,\textcolor{green}{True},\textcolor{red}{False}
-1.9e+3,8.8e+3,-1.7e+3,-9.5e+5,8.4e+4,-1.4e+4,-2.e+3,\textcolor{green}{True},\textcolor{red}{False}
8.1e+3,-9.0e+4,7.2e+2,4.5e+4,9.e+4,1.1e+4,4.7e+2,\textcolor{green}{True},\textcolor{red}{False}
7.1e+2,7.3e+4,-3.6e+1,-3.8e+5,-2.3e+4,-4.7e+2,3.8e+2,\textcolor{green}{True},\textcolor{red}{False}
-1.4e+4,-6.6e+4,-4.3e+2,6.9e+4,-1.2e+5,-6.2e+2,-2.6e+3,\textcolor{green}{True},\textcolor{red}{False}
